exercise	missing_kcs
py_bmi_calculator2	['Round']
q_py_topic_lists:q_py_list_remove1	['DeletingListElement']
ps_python_string_join	['CapitalizeString']
q_py_topic_exceptions:q_py_list_except1	['HandlingGeneralError']
py_check_age2	['IfElseCheckingInWhileLoop']
ae_adl_file2	['TrimmingString']
q_topic_classes_objects:q_py_obj_car1	['BooleanLiteral']
